premise,hypothesis,extra,label,generic,concept,hyp_type_pl,reasoning_steps,reasoning_type,extra_type
Flamingos have long legs. A Goq is a flamingo.,A Goq has long legs.,An american flamingo is a flamingo. An american flamingo has long legs.,S,Flamingos have long legs.,Flamingos,Goqs,1,S-case,Real
Flamingos have long legs. A Goq is a flamingo.,A Goq has long legs.,A Dofik is a flamingo. A Dofik has long legs.,S,Flamingos have long legs.,Flamingos,Goqs,1,S-case,Nonsense
Flamingos have long legs. A Goq is a flamingo.,A Goq has long legs.,Flamingos that are very young are flamingos. Flamingos that are very young do not have long legs.,W,Flamingos have long legs.,Flamingos,Goqs,1,W-case,Real
Flamingos have long legs. A Goq is a flamingo.,A Goq has long legs.,A Dofik is a flamingo. Dofiks do not have long legs.,W,Flamingos have long legs.,Flamingos,Goqs,1,W-case,Nonsense
Flamingos have long legs. A Goq is a flamingo.,A Goq has long legs.,A Dofik is not a flamingo. Dofiks do not have long legs.,N,Flamingos have long legs.,Flamingos,Goqs,1,N-alt,Nonsense
Flamingos have long legs. A Goq is a flamingo.,A Goq has long legs.,Bats are not flamingos. Bats do not have long legs.,N,Flamingos have long legs.,Flamingos,Goqs,1,N-alt,Real
Flamingos have long legs. A Goq is a flamingo.,A Goq has long legs.,Flamingos have a long beak.,N,Flamingos have long legs.,Flamingos,Goqs,1,N-prop,Real
Flamingos have long legs. An american flamingo is a flamingo. A Goq is an american flamingo.,A Goq has long legs.,An american flamingo has long legs.,S,Flamingos have long legs.,Flamingos,Goqs,2,S-case,Real
Flamingos have long legs. Flamingos that are very young are flamingos. Goqs are flamingos that are very young.,A Goq has long legs.,Flamingos that are very young do not have long legs.,W,Flamingos have long legs.,Flamingos,Goqs,2,W-case,Real
Flamingos have long legs. A Yeb is a flamingo. A Goq is a Yeb.,A Goq has long legs.,A Yeb has long legs,S,Flamingos have long legs.,Flamingos,Goqs,2,S-case,Nonsense
